model,accuracy,precision,recall,f1,train_time,pred_time,embedding_method,timestamp
svm,0.9166666666666666,0.9277777777777777,0.915079365079365,0.9201956039524096,0.0068014999851584435,0.001361000002361834,PCA,20251012_214423
rf,0.9166666666666666,0.9277777777777777,0.915079365079365,0.9201956039524096,0.2817045000847429,0.018121699918992817,PCA,20251012_214423
lr,0.9166666666666666,0.9277777777777777,0.915079365079365,0.9201956039524096,0.01648839993868023,0.000561599968932569,PCA,20251012_214423
