model,accuracy,precision,recall,f1,train_time,pred_time,embedding_method,timestamp
svm,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.005612700013443828,0.0011427999706938863,TSNE,20251012_214606
rf,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.3686344000743702,0.021038100006990135,TSNE,20251012_214606
lr,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.070518400054425,0.0006970000686123967,TSNE,20251012_214606
