model,accuracy,precision,recall,f1,train_time,pred_time,embedding_method,timestamp
svm,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.005807499983347952,0.0009266999550163746,TSNE,20251012_185654
rf,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.3439121999545023,0.01739130006171763,TSNE,20251012_185654
lr,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.03465019993018359,0.0007783999899402261,TSNE,20251012_185654
