model,accuracy,precision,recall,f1,train_time,pred_time,embedding_method,timestamp
svm,0.9166666666666666,0.9277777777777777,0.915079365079365,0.9201956039524096,0.004021800006739795,0.00047999992966651917,PCA,20251012_223022
rf,0.9166666666666666,0.9277777777777777,0.915079365079365,0.9201956039524096,0.2718347000190988,0.016576900030486286,PCA,20251012_223022
lr,0.9166666666666666,0.9277777777777777,0.915079365079365,0.9201956039524096,0.008606399991549551,0.0005137999542057514,PCA,20251012_223022
