model,accuracy,precision,recall,f1,train_time,pred_time,embedding_method,timestamp
svm,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.006181900040246546,0.0009352999040856957,TSNE,20251012_215309
rf,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.4080938999541104,0.026118800044059753,TSNE,20251012_215309
lr,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.08030609996058047,0.0009574999567121267,TSNE,20251012_215309
