model,accuracy,precision,recall,f1,train_time,pred_time,embedding_method,timestamp
svm,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,0.002639799960888922,0.00041119998786598444,UMAP,20251012_223250
rf,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.1469554000068456,0.008012300007976592,UMAP,20251012_223250
lr,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.016947500058449805,0.00027769990265369415,UMAP,20251012_223250
