model,accuracy,precision,recall,f1,train_time,pred_time,embedding_method,timestamp
svm,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.008535400032997131,0.0009633000008761883,TSNE,20251012_213941
rf,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.4642426000209525,0.021814799983985722,TSNE,20251012_213941
lr,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.07759270002134144,0.0017937000375241041,TSNE,20251012_213941
