model,accuracy,precision,recall,f1,train_time,pred_time,embedding_method,timestamp
svm,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.0065249999752268195,0.000938400044105947,TSNE,20251012_222532
rf,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.3421754000009969,0.021215399960055947,TSNE,20251012_222532
lr,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.03624050004873425,0.000860300031490624,TSNE,20251012_222532
