model,accuracy,precision,recall,f1,train_time,pred_time,embedding_method,timestamp
svm,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,0.0029392000287771225,0.00041369989048689604,PCA->UMAP,20251012_223409
rf,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.14197220001369715,0.007975999964401126,PCA->UMAP,20251012_223409
lr,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.01567370002157986,0.00028879998717457056,PCA->UMAP,20251012_223409
